Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
























































































































































































Mexico,Liga MX,2019/2020,11/01/2020,03:00,Monarcas,Toluca,0,1,A,2.07,3.46,3.76,2.1,3.62,3.85,2,3.39,3.57
Mexico,Liga MX,2019/2020,11/01/2020,03:10,Club Tijuana,Santos Laguna,2,1,H,2.91,3.65,2.37,2.91,3.65,2.46,2.76,3.45,2.36
Mexico,Liga MX,2019/2020,11/01/2020,23:00,Cruz Azul,Atlas,1,2,A,1.61,4.03,5.78,1.67,4.2,6.2,1.6,3.74,5.48
Mexico,Liga MX,2019/2020,12/01/2020,01:00,Club Leon,Queretaro,3,1,H,1.58,4.58,5.23,1.64,4.58,5.75,1.57,4.19,5.05
Mexico,Liga MX,2019/2020,12/01/2020,01:00,Guadalajara Chivas,Juarez,2,0,H,1.71,3.74,5.26,1.72,4,5.75,1.67,3.62,4.99
Mexico,Liga MX,2019/2020,12/01/2020,03:05,U.A.N.L.- Tigres,Atl. San Luis,0,0,D,1.57,4.04,6.29,1.6,4.2,6.29,1.55,3.92,5.53
Mexico,Liga MX,2019/2020,12/01/2020,18:00,U.N.A.M.- Pumas,Pachuca,2,1,H,2.79,3.48,2.54,2.85,3.52,2.55,2.71,3.34,2.45
Mexico,Liga MX,2019/2020,17/01/2020,03:15,Juarez,U.N.A.M.- Pumas,4,4,D,2.76,3.15,2.78,2.8,3.3,2.82,2.64,3.08,2.66
Mexico,Liga MX,2019/2020,18/01/2020,01:00,Atl. San Luis,Cruz Azul,2,1,H,3.15,3.1,2.5,3.3,3.25,2.5,3,3.08,2.38
Mexico,Liga MX,2019/2020,18/01/2020,03:00,Atlas,Puebla,0,1,A,2.05,3.33,3.97,2.06,3.6,4.2,1.96,3.3,3.78
Mexico,Liga MX,2019/2020,18/01/2020,23:00,Monterrey,Monarcas,2,2,D,1.53,4.41,6.2,1.54,4.75,7,1.48,4.36,5.88
Mexico,Liga MX,2019/2020,19/01/2020,01:00,Pachuca,Guadalajara Chivas,0,0,D,2.25,3.57,3.18,2.27,3.65,3.68,2.15,3.47,3.09
Mexico,Liga MX,2019/2020,19/01/2020,03:00,Club America,U.A.N.L.- Tigres,1,0,H,2.41,3.27,3.13,2.44,3.4,3.4,2.26,3.19,3.1
Mexico,Liga MX,2019/2020,19/01/2020,18:00,Toluca,Necaxa,2,3,A,2.14,3.71,3.3,2.29,3.71,3.5,2.12,3.42,3.2
Mexico,Liga MX,2019/2020,19/01/2020,22:00,Queretaro,Club Tijuana,3,0,H,2.26,3.5,3.22,2.26,3.58,3.3,2.19,3.38,3.06
