Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Switzerland,Super League,2019/2020,19/07/2019,19:00,Sion,Basel,1,4,A,5.29,4.38,1.61,5.75,4.45,1.63,5.2,4.19,1.57
Switzerland,Super League,2019/2020,20/07/2019,18:00,St. Gallen,Luzern,0,2,A,3.11,3.78,2.23,3.11,3.78,2.46,2.93,3.54,2.25
Switzerland,Super League,2019/2020,20/07/2019,18:00,Thun,Xamax,2,2,D,2.26,3.62,3.16,2.29,3.75,3.3,2.17,3.55,3.08
Switzerland,Super League,2019/2020,21/07/2019,15:00,Young Boys,Servette,1,1,D,1.41,5.35,6.84,1.45,5.6,7.85,1.39,5.14,6.49
Switzerland,Super League,2019/2020,21/07/2019,15:00,Zurich,Lugano,0,4,A,2.73,3.52,2.6,2.75,3.52,2.7,2.65,3.31,2.57
Switzerland,Super League,2019/2020,27/07/2019,18:00,Basel,St. Gallen,1,2,A,1.34,5.4,8.83,1.45,5.6,10,1.33,5.17,8.07
Switzerland,Super League,2019/2020,27/07/2019,18:00,Servette,Sion,0,0,D,1.72,4.2,4.6,2,4.2,5,1.74,3.9,4.25
Switzerland,Super League,2019/2020,28/07/2019,15:00,Lugano,Thun,0,0,D,1.87,3.62,4.49,1.94,3.8,4.49,1.86,3.56,4.02
Switzerland,Super League,2019/2020,28/07/2019,15:00,Luzern,Zurich,0,0,D,1.88,3.76,4.18,1.91,3.85,4.18,1.85,3.67,3.92
Switzerland,Super League,2019/2020,28/07/2019,15:00,Xamax,Young Boys,0,1,A,5.99,4.95,1.49,6.2,4.95,1.6,5.67,4.53,1.49
Switzerland,Super League,2019/2020,03/08/2019,18:00,Sion,Zurich,3,1,H,2.36,3.44,3.12,2.36,3.58,3.12,2.27,3.38,3.01
Switzerland,Super League,2019/2020,03/08/2019,18:00,Thun,Basel,2,3,A,5.52,4.51,1.57,6,4.51,1.7,5.19,4.21,1.57
Switzerland,Super League,2019/2020,04/08/2019,15:00,Servette,Luzern,1,0,H,1.94,4,3.71,2.06,4,4,1.93,3.69,3.58
Switzerland,Super League,2019/2020,04/08/2019,15:00,Xamax,St. Gallen,1,1,D,2.7,3.56,2.61,2.7,3.66,2.65,2.56,3.48,2.56
Switzerland,Super League,2019/2020,04/08/2019,15:00,Young Boys,Lugano,2,0,H,1.64,4.01,5.58,1.66,4.28,5.58,1.61,4.02,5.06
Switzerland,Super League,2019/2020,10/08/2019,18:00,Basel,Servette,3,1,H,2.04,3.92,3.47,2.04,4,3.8,1.93,3.83,3.47
Switzerland,Super League,2019/2020,10/08/2019,18:00,St. Gallen,Young Boys,2,3,A,5.04,4.39,1.63,5.3,4.4,1.67,4.82,4.16,1.61
Switzerland,Super League,2019/2020,11/08/2019,15:00,Lugano,Sion,0,1,A,2,3.55,3.97,2.01,3.66,3.97,1.95,3.47,3.73
Switzerland,Super League,2019/2020,11/08/2019,15:00,Luzern,Thun,0,2,A,2.04,3.57,3.78,2.05,3.68,3.8,1.99,3.5,3.55
Switzerland,Super League,2019/2020,11/08/2019,15:00,Zurich,Xamax,2,2,D,2.03,3.72,3.66,2.05,3.84,3.8,1.97,3.63,3.5
Switzerland,Super League,2019/2020,14/08/2019,18:00,Zurich,St. Gallen,2,1,H,2.16,3.83,3.22,2.21,3.9,3.35,2.12,3.64,3.12
Switzerland,Super League,2019/2020,24/08/2019,18:00,Xamax,Basel,0,3,A,5.99,4.67,1.52,6.45,4.75,1.54,5.81,4.51,1.49
Switzerland,Super League,2019/2020,24/08/2019,18:00,Young Boys,Zurich,4,0,H,1.42,5.12,7.01,1.62,5.4,8,1.4,4.87,6.86
Switzerland,Super League,2019/2020,25/08/2019,15:00,Sion,Luzern,2,1,H,2.57,3.66,2.69,2.66,3.66,2.88,2.44,3.45,2.72
Switzerland,Super League,2019/2020,25/08/2019,15:00,St. Gallen,Lugano,3,2,H,3.09,3.5,2.35,3.25,3.5,2.58,2.91,3.32,2.38
Switzerland,Super League,2019/2020,25/08/2019,15:00,Thun,Servette,0,4,A,3.1,3.89,2.2,3.15,3.89,2.31,3.04,3.65,2.16
Switzerland,Super League,2019/2020,31/08/2019,18:00,Servette,Xamax,2,2,D,1.57,4.48,5.51,1.67,4.48,5.8,1.56,4.23,5.23
Switzerland,Super League,2019/2020,01/09/2019,15:00,Basel,Lugano,2,1,H,1.56,4.19,6.24,1.56,4.5,7,1.53,4.19,5.76
Switzerland,Super League,2019/2020,01/09/2019,15:00,Luzern,Young Boys,2,2,D,5.6,4.59,1.56,5.8,4.59,1.63,5.35,4.28,1.55
Switzerland,Super League,2019/2020,01/09/2019,15:00,Thun,Sion,0,1,A,2.6,3.54,2.72,2.67,3.62,2.77,2.51,3.43,2.64
Switzerland,Super League,2019/2020,21/09/2019,18:00,St. Gallen,Servette,3,1,H,2.76,3.72,2.48,2.87,3.78,2.59,2.69,3.57,2.4
Switzerland,Super League,2019/2020,21/09/2019,18:00,Xamax,Sion,1,3,A,2.88,3.55,2.47,2.96,3.6,2.5,2.79,3.42,2.4
Switzerland,Super League,2019/2020,22/09/2019,15:00,Lugano,Luzern,1,1,D,2.35,3.5,3.09,2.37,3.6,3.25,2.27,3.43,3
Switzerland,Super League,2019/2020,22/09/2019,15:00,Young Boys,Basel,1,1,D,1.97,3.95,3.66,2.05,4,3.66,1.95,3.81,3.44
Switzerland,Super League,2019/2020,22/09/2019,15:00,Zurich,Thun,2,0,H,2.02,3.71,3.72,2.08,3.78,3.72,2.02,3.55,3.46
Switzerland,Super League,2019/2020,25/09/2019,19:00,Basel,Zurich,4,0,H,1.36,5.55,7.98,1.45,5.58,8.5,1.35,5.18,7.46
Switzerland,Super League,2019/2020,25/09/2019,19:00,Sion,St. Gallen,1,2,A,2.12,3.57,3.53,2.22,3.72,3.6,2.07,3.5,3.36
Switzerland,Super League,2019/2020,25/09/2019,19:00,Thun,Young Boys,1,1,D,6.19,4.76,1.5,6.5,4.9,1.51,5.87,4.64,1.46
